ano,oleo,gas,agua,principal,co2,total,termico
1,82.608,27.59,0.205,20.45,6.98,27.43,13.99
2,200.509,53.923,0.219,45,10.14,55.14,28.58
3,205.68,59.061,0.246,63.86,12.94,76.8,43.66
4,204.88,59.751,0.246,64.86,12.81,77.67,44.15
5,204.654,60.51,0.657,65.22,12.87,78.09,44.18
6,203.258,60.9,1.785,65.06,12.97,78.03,43.85
7,202.807,61.693,2.298,65.27,12.80,78.07,43.74
8,201.57,63.095,3.57,65.37,12.94,78.31,43.65
9,199.85,65.147,5.526,65.32,12.98,78.3,43.39
10,198.23,67.81,10.608,65.31,12.97,78.28,43.18
11,194.32,69.57,17.974,65.36,12.97,78.33,43.01
12,184.053,72.082,26.551,65.22,12.97,78.19,42.71
13,166.667,73.026,34.745,65.22,12.91,78.13,42.51
14,154.52,73.949,41.653,65.07,13.12,78.19,42.15
15,143.084,74.257,49.442,64.83,13.11,77.94,41.73
16,127.914,71.672,66.743,63.03,13.2,76.23,41.995
17,112.415,59.619,109.223,58,12.3,70.3,42.26
18,99.93,40.824,154.84,49,9.77,58.77,42.61
19,84.729,31.205,189.654,42.82,7.59,50.41,43.125
20,69.846,31.168,201.412,42.55,7.56,50.28,43.64
21,47.398,31.818,218.538,42.74,7.54,50.28,42.46
22,39.15,32.091,224.721,37.1,7.79,44.89,35.73
